State,Cat,Count,,
Iowa,Robbery,928,,
Iowa,StolenPropertyOffenses,714,,
Kansas,Arson,512,,
Kansas,Bribery,6,,
Kansas,Burglary/Breaking&Entering,"7,818",,
Kansas,Counterfeiting/Forgery,"2,850",,
Kansas,Destruction/Damage/Vandalism ,"25,413",,
Kansas,Embezzlement,634,,
Kansas,Extortion/Blackmail,244,,
Kansas,FraudOffenses,"12,986",,
Kansas,Larceny/TheftOffenses,"39,479",,
Kansas,MotorVehicleTheft,"5,913",,
Kansas,Robbery,816,,
Kansas,StolenPropertyOffenses,"1,555",,
Kentucky,Arson,360,,
Kentucky,Bribery,53,,
Kentucky,Burglary/Breaking&Entering,"14,724",,
Kentucky,Counterfeiting/Forgery,"2,458",,
Kentucky,Destruction/Damage/Vandalism ,"21,038",,
Kentucky,Embezzlement,"1,382",,
Kentucky,Extortion/Blackmail,81,,
Kentucky,FraudOffenses,"7,066",,
Kentucky,Larceny/TheftOffenses,"54,885",,
Kentucky,MotorVehicleTheft,"11,242",,
Kentucky,Robbery,"2,288",,
Kentucky,StolenPropertyOffenses,"4,117",,
Louisiana,Arson,71,,
Louisiana,Bribery,1,,
Louisiana,Burglary/Breaking&Entering,"6,312",,
Louisiana,Counterfeiting/Forgery,759,,
Louisiana,Destruction/Damage/Vandalism ,"9,117",,
Louisiana,Embezzlement,196,,
Louisiana,Extortion/Blackmail,59,,
Louisiana,FraudOffenses,"1,735",,
Louisiana,Larceny/TheftOffenses,"23,833",,
Louisiana,MotorVehicleTheft,"2,594",,
Louisiana,Robbery,508,,
Louisiana,StolenPropertyOffenses,879,,
Maine,Arson,170,,
Maine,Bribery,2,,
Maine,Burglary/Breaking&Entering,"1,179",,
Maine,Counterfeiting/Forgery,331,,
Maine,Destruction/Damage/Vandalism ,"4,139",,
Maine,Embezzlement,97,,
Maine,Extortion/Blackmail,39,,
Maine,FraudOffenses,"2,529",,
Maine,Larceny/TheftOffenses,"7,636",,
Maine,MotorVehicleTheft,508,,
Maine,Robbery,100,,
Maine,StolenPropertyOffenses,65,,
Maryland,Arson,44,,
Maryland,Bribery,0,,
Maryland,Burglary/Breaking&Entering,"2,360",,
Maryland,Counterfeiting/Forgery,647,,
Maryland,Destruction/Damage/Vandalism ,"8,477",,
Maryland,Embezzlement,95,,
Maryland,Extortion/Blackmail,118,,
Maryland,FraudOffenses,"5,310",,
Maryland,Larceny/TheftOffenses,"19,235",,
Maryland,MotorVehicleTheft,"3,317",,
Maryland,Robbery,"1,280",,
Maryland,StolenPropertyOffenses,180,,
Massachusetts,Arson,419,,
Massachusetts,Bribery,12,,
Massachusetts,Burglary/Breaking&Entering,"10,299",,
Massachusetts,Counterfeiting/Forgery,"2,530",,
Massachusetts,Destruction/Damage/Vandalism ,"29,897",,
Massachusetts,Embezzlement,339,,
Massachusetts,Extortion/Blackmail,534,,
Massachusetts,FraudOffenses,"52,246",,
Massachusetts,Larceny/TheftOffenses,"57,363",,
Massachusetts,MotorVehicleTheft,"6,815",,
Massachusetts,Robbery,"2,999",,
Massachusetts,StolenPropertyOffenses,"1,747",,
Michigan,Arson,"1,768",,
Michigan,Bribery,11,,
Michigan,Burglary/Breaking&Entering,"22,172",,
Michigan,Counterfeiting/Forgery,"3,017",,
Michigan,Destruction/Damage/Vandalism ,"47,579",,
Michigan,Embezzlement,"1,685",,
Michigan,Extortion/Blackmail,517,,
Michigan,FraudOffenses,"36,400",,
Michigan,Larceny/TheftOffenses,"93,671",,
Michigan,MotorVehicleTheft,"18,074",,
Michigan,Robbery,"4,424",,
Michigan,StolenPropertyOffenses,"4,631",,
Minnesota,Arson,454,,
Minnesota,Bribery,7,,
Minnesota,Burglary/Breaking&Entering,"11,528",,
Minnesota,Counterfeiting/Forgery,"3,306",,
Minnesota,Destruction/Damage/Vandalism ,"23,618",,
Minnesota,Embezzlement,156,,
Minnesota,Extortion/Blackmail,144,,
Minnesota,FraudOffenses,"13,812",,
Minnesota,Larceny/TheftOffenses,"57,242",,
Minnesota,MotorVehicleTheft,"10,039",,
