key,value
"20 to 29",177677
"30 to 39",130983
"Unknown",98729
"10 to 19",86336
"40 to 49",65804
"50 to 59",40055
"60 to 69",13420
"70 to 79",2899
"0 to 9",1129
"80 to 89",617
"90 to Older",416
